Entity,Code,Year,Number of reported natural disasters (reported disasters)
All natural disasters,,1900,5
All natural disasters,,1901,2
All natural disasters,,1902,9
All natural disasters,,1903,8
All natural disasters,,1904,2
All natural disasters,,1905,4
All natural disasters,,1906,17
All natural disasters,,1907,5
All natural disasters,,1908,4
All natural disasters,,1909,11
All natural disasters,,1910,15
All natural disasters,,1911,5
All natural disasters,,1912,7
All natural disasters,,1913,5
All natural disasters,,1914,6
All natural disasters,,1915,7
All natural disasters,,1916,2
All natural disasters,,1917,6
All natural disasters,,1918,7
All natural disasters,,1919,4
All natural disasters,,1920,7
All natural disasters,,1921,2
All natural disasters,,1922,6
All natural disasters,,1923,12
All natural disasters,,1924,4
All natural disasters,,1925,6
All natural disasters,,1926,15
All natural disasters,,1927,12
All natural disasters,,1928,17
All natural disasters,,1929,6
All natural disasters,,1930,14
All natural disasters,,1931,12
All natural disasters,,1932,8
All natural disasters,,1933,10
All natural disasters,,1934,9
All natural disasters,,1935,11
All natural disasters,,1936,11
All natural disasters,,1937,7
All natural disasters,,1938,7
All natural disasters,,1939,11
All natural disasters,,1940,17
All natural disasters,,1941,5
All natural disasters,,1942,9
All natural disasters,,1943,12
All natural disasters,,1944,12
All natural disasters,,1945,12
All natural disasters,,1946,15
All natural disasters,,1947,12
All natural disasters,,1948,23
All natural disasters,,1949,20
All natural disasters,,1950,23
All natural disasters,,1951,27
All natural disasters,,1952,24
All natural disasters,,1953,34
All natural disasters,,1954,33
All natural disasters,,1955,30
All natural disasters,,1956,36
All natural disasters,,1957,29
All natural disasters,,1958,23
All natural disasters,,1959,33
All natural disasters,,1960,40
All natural disasters,,1961,28
All natural disasters,,1962,28
All natural disasters,,1963,41
All natural disasters,,1964,60
All natural disasters,,1965,61
All natural disasters,,1966,80
All natural disasters,,1967,70
All natural disasters,,1968,77
All natural disasters,,1969,62
All natural disasters,,1970,77
All natural disasters,,1971,61
All natural disasters,,1972,63
All natural disasters,,1973,60
All natural disasters,,1974,68
All natural disasters,,1975,63
All natural disasters,,1976,91
All natural disasters,,1977,121
All natural disasters,,1978,115
All natural disasters,,1979,120
All natural disasters,,1980,133
All natural disasters,,1981,138
All natural disasters,,1982,153
All natural disasters,,1983,205
All natural disasters,,1984,146
All natural disasters,,1985,165
All natural disasters,,1986,150
All natural disasters,,1987,191
All natural disasters,,1988,200
All natural disasters,,1989,172
All natural disasters,,1990,278
All natural disasters,,1991,228
All natural disasters,,1992,204
All natural disasters,,1993,260
All natural disasters,,1994,246
All natural disasters,,1995,248
All natural disasters,,1996,227
All natural disasters,,1997,261
All natural disasters,,1998,288
All natural disasters,,1999,337
All natural disasters,,2000,411
All natural disasters,,2001,376
All natural disasters,,2002,421
All natural disasters,,2003,360
All natural disasters,,2004,350
All natural disasters,,2005,432
All natural disasters,,2006,401
All natural disasters,,2007,414
All natural disasters,,2008,352
All natural disasters,,2009,344
All natural disasters,,2010,393
All natural disasters,,2011,334
All natural disasters,,2012,346
All natural disasters,,2013,332
All natural disasters,,2014,320
All natural disasters,,2015,380
All natural disasters,,2016,325
All natural disasters,,2017,276
All natural disasters,,2018,282
