Date,Average Temperature,Year
1750-01-01,8.373541666666666,1750
1751-01-01,7.6841875,1751
1752-01-01,6.510208333333334,1752
1753-01-01,8.388083333333332,1753
1754-01-01,8.469333333333333,1754
1755-01-01,8.355583333333334,1755
1756-01-01,8.849583333333333,1756
1757-01-01,9.022,1757
1758-01-01,6.7435833333333335,1758
1759-01-01,7.985083333333333,1759
1760-01-01,7.1851666666666665,1760
1761-01-01,8.7725,1761
1762-01-01,8.6065,1762
1763-01-01,7.49675,1763
1764-01-01,8.400333333333334,1764
1765-01-01,8.251916666666666,1765
1766-01-01,8.405666666666667,1766
1767-01-01,8.2215,1767
1768-01-01,6.781333333333333,1768
1769-01-01,7.694583333333333,1769
1770-01-01,7.691916666666667,1770
1771-01-01,7.853166666666667,1771
1772-01-01,8.1935,1772
1773-01-01,8.2215,1773
1774-01-01,8.772166666666667,1774
1775-01-01,9.183083333333334,1775
1776-01-01,8.304,1776
1777-01-01,8.25625,1777
1778-01-01,8.542250000000001,1778
1779-01-01,8.98325,1779
1780-01-01,9.432916666666666,1780
1781-01-01,8.102583333333333,1781
1782-01-01,7.90125,1782
1783-01-01,7.680833333333333,1783
1784-01-01,7.861999999999999,1784
1785-01-01,7.3629999999999995,1785
1786-01-01,8.258166666666666,1786
1787-01-01,8.031833333333333,1787
1788-01-01,8.447166666666666,1788
1789-01-01,8.334166666666667,1789
1790-01-01,7.982333333333333,1790
1791-01-01,8.234250000000001,1791
1792-01-01,8.089,1792
1793-01-01,8.229166666666666,1793
1794-01-01,8.526,1794
1795-01-01,8.350333333333333,1795
1796-01-01,8.270999999999999,1796
1797-01-01,8.510583333333333,1797
1798-01-01,8.670250000000001,1798
1799-01-01,8.50575,1799
1800-01-01,8.48425,1800
1801-01-01,8.589666666666666,1801
1802-01-01,8.578166666666666,1802
1803-01-01,8.503,1803
1804-01-01,8.844833333333332,1804
1805-01-01,8.56275,1805
1806-01-01,8.434083333333334,1806
1807-01-01,8.281416666666667,1807
1808-01-01,7.626833333333334,1808
1809-01-01,7.076416666666667,1809
1810-01-01,6.922666666666667,1810
1811-01-01,6.859500000000001,1811
1812-01-01,7.046250000000001,1812
1813-01-01,7.739916666666667,1813
1814-01-01,7.59175,1814
1815-01-01,7.239333333333334,1815
1816-01-01,6.9375,1816
1817-01-01,6.975666666666666,1817
1818-01-01,7.828916666666667,1818
1819-01-01,7.3691666666666675,1819
1820-01-01,7.61625,1820
1821-01-01,8.090083333333334,1821
1822-01-01,8.188333333333334,1822
1823-01-01,7.718666666666667,1823
1824-01-01,8.547166666666667,1824
1825-01-01,8.389333333333333,1825
1826-01-01,8.356583333333333,1826
1827-01-01,8.80875,1827
1828-01-01,8.165333333333335,1828
1829-01-01,7.941833333333332,1829
1830-01-01,8.51675,1830
1831-01-01,7.639166666666667,1831
1832-01-01,7.450166666666667,1832
1833-01-01,8.013,1833
1834-01-01,8.146749999999999,1834
1835-01-01,7.392499999999999,1835
1836-01-01,7.695833333333334,1836
1837-01-01,7.375666666666667,1837
1838-01-01,7.514916666666667,1838
1839-01-01,7.63225,1839
1840-01-01,7.79625,1840
1841-01-01,7.688166666666667,1841
1842-01-01,8.02275,1842
1843-01-01,8.173666666666668,1843
1844-01-01,7.646333333333334,1844
1845-01-01,7.851166666666667,1845
1846-01-01,8.55275,1846
1847-01-01,8.086,1847
1848-01-01,7.979500000000001,1848
1849-01-01,7.984416666666667,1849
1850-01-01,7.900666666666666,1850
1851-01-01,8.178583333333334,1851
1852-01-01,8.100166666666667,1852
1853-01-01,8.041833333333333,1853
1854-01-01,8.2105,1854
1855-01-01,8.110750000000001,1855
1856-01-01,7.995916666666667,1856
1857-01-01,7.758166666666667,1857
1858-01-01,8.10025,1858
1859-01-01,8.252,1859
1860-01-01,7.960833333333333,1860
1861-01-01,7.8465,1861
1862-01-01,7.558583333333334,1862
1863-01-01,8.111833333333333,1863
1864-01-01,7.983583333333333,1864
1865-01-01,8.177833333333334,1865
1866-01-01,8.292166666666667,1866
1867-01-01,8.436333333333334,1867
1868-01-01,8.247916666666667,1868
1869-01-01,8.432083333333333,1869
1870-01-01,8.201333333333332,1870
1871-01-01,8.115083333333333,1871
1872-01-01,8.193833333333332,1872
1873-01-01,8.351083333333333,1873
1874-01-01,8.4335,1874
1875-01-01,7.859583333333333,1875
1876-01-01,8.080083333333333,1876
1877-01-01,8.539583333333333,1877
1878-01-01,8.829749999999999,1878
1879-01-01,8.165833333333333,1879
1880-01-01,8.11875,1880
1881-01-01,8.270916666666666,1881
1882-01-01,8.128916666666667,1882
1883-01-01,7.976916666666667,1883
1884-01-01,7.773666666666666,1884
1885-01-01,7.919666666666667,1885
1886-01-01,7.9545,1886
1887-01-01,7.914916666666667,1887
1888-01-01,8.0905,1888
1889-01-01,8.319,1889
1890-01-01,7.971666666666667,1890
1891-01-01,8.019333333333334,1891
1892-01-01,8.065833333333332,1892
1893-01-01,8.05675,1893
1894-01-01,8.161,1894
1895-01-01,8.147,1895
1896-01-01,8.214916666666667,1896
1897-01-01,8.293333333333333,1897
1898-01-01,8.177999999999999,1898
1899-01-01,8.396333333333333,1899
1900-01-01,8.501583333333334,1900
1901-01-01,8.541916666666667,1901
1902-01-01,8.304416666666667,1902
1903-01-01,8.220166666666666,1903
1904-01-01,8.090916666666667,1904
1905-01-01,8.225166666666667,1905
1906-01-01,8.379083333333334,1906
1907-01-01,7.947166666666667,1907
1908-01-01,8.186083333333334,1908
1909-01-01,8.17825,1909
1910-01-01,8.223,1910
1911-01-01,8.177000000000001,1911
1912-01-01,8.165416666666667,1912
1913-01-01,8.29775,1913
1914-01-01,8.5905,1914
1915-01-01,8.593166666666667,1915
1916-01-01,8.22525,1916
1917-01-01,8.023333333333333,1917
1918-01-01,8.130833333333333,1918
1919-01-01,8.38225,1919
1920-01-01,8.35875,1920
1921-01-01,8.571,1921
1922-01-01,8.408,1922
1923-01-01,8.422166666666667,1923
1924-01-01,8.506833333333335,1924
1925-01-01,8.534416666666667,1925
1926-01-01,8.728833333333332,1926
1927-01-01,8.522083333333333,1927
1928-01-01,8.632166666666667,1928
1929-01-01,8.242416666666667,1929
1930-01-01,8.633583333333332,1930
1931-01-01,8.71925,1931
1932-01-01,8.70525,1932
1933-01-01,8.33825,1933
1934-01-01,8.628333333333334,1934
1935-01-01,8.51575,1935
1936-01-01,8.554,1936
1937-01-01,8.698333333333332,1937
1938-01-01,8.863666666666667,1938
1939-01-01,8.760333333333334,1939
1940-01-01,8.764666666666667,1940
1941-01-01,8.768666666666666,1941
1942-01-01,8.728416666666666,1942
1943-01-01,8.755083333333333,1943
1944-01-01,8.845,1944
1945-01-01,8.584833333333334,1945
1946-01-01,8.676916666666667,1946
1947-01-01,8.797083333333333,1947
1948-01-01,8.74675,1948
