,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1800-01-01,88.94993233596927,-333.3578066897767,150.5907635160554,88.94993233596927,88.94993233596927,-176.2473676824147,-176.2473676824147,-176.2473676824147,-176.2473676824147,-176.2473676824147,-176.2473676824147,0.0,0.0,0.0,-87.29743534644544
1,1801-01-01,90.54048746263375,-297.8318118509848,155.5295150399241,90.54048746263375,90.54048746263375,-156.81675769135592,-156.81675769135592,-156.81675769135592,-156.81675769135592,-156.81675769135592,-156.81675769135592,0.0,0.0,0.0,-66.27627022872217
2,1802-01-01,92.1310425892982,-288.31551799549845,186.99195540201458,92.1310425892982,92.1310425892982,-136.74840021647418,-136.74840021647418,-136.74840021647418,-136.74840021647418,-136.74840021647418,-136.74840021647418,0.0,0.0,0.0,-44.61735762717598
3,1803-01-01,93.72159771596269,-257.81779643051095,209.71601060975968,93.72159771596269,93.72159771596269,-116.0662860606668,-116.0662860606668,-116.0662860606668,-116.0662860606668,-116.0662860606668,-116.0662860606668,0.0,0.0,0.0,-22.34468834470411
4,1804-01-01,95.31215284262716,-247.57409198322432,241.0623092687099,95.31215284262716,95.31215284262716,-94.79543572780219,-94.79543572780219,-94.79543572780219,-94.79543572780219,-94.79543572780219,-94.79543572780219,0.0,0.0,0.0,0.5167171148249707
5,1805-01-01,96.90706565457018,-289.91401779377173,186.99387540258562,96.90706565457018,96.90706565457018,-156.8167576916312,-156.8167576916312,-156.8167576916312,-156.8167576916312,-156.8167576916312,-156.8167576916312,0.0,0.0,0.0,-59.909692037061035
6,1806-01-01,98.49762078123463,-269.0213933384415,198.9846789652933,98.49762078123463,98.49762078123463,-136.7484002168471,-136.7484002168471,-136.7484002168471,-136.7484002168471,-136.7484002168471,-136.7484002168471,0.0,0.0,0.0,-38.25077943561247
7,1807-01-01,100.0881759078991,-266.82459490136165,230.88661256374928,100.0881759078991,100.0881759078991,-116.0662860604363,-116.0662860604363,-116.0662860604363,-116.0662860604363,-116.0662860604363,-116.0662860604363,0.0,0.0,0.0,-15.978110152537198
8,1808-01-01,101.67873077904387,-218.9137939188438,229.79665167794877,101.67873077904387,101.67873077904387,-94.79543572798912,-94.79543572798912,-94.79543572798912,-94.79543572798912,-94.79543572798912,-94.79543572798912,0.0,0.0,0.0,6.883295051054759
9,1809-01-01,103.27364333476713,-286.47910222931586,188.15449598964608,103.27364333476713,103.27364333476713,-156.8167576916137,-156.8167576916137,-156.8167576916137,-156.8167576916137,-156.8167576916137,-156.8167576916137,0.0,0.0,0.0,-53.54311435684657
10,1810-01-01,104.8641982059119,-275.3355250563375,203.93813337281804,104.8641982059119,104.8641982059119,-136.74840021685338,-136.74840021685338,-136.74840021685338,-136.74840021685338,-136.74840021685338,-136.74840021685338,0.0,0.0,0.0,-31.88420201094148
11,1811-01-01,106.45475307705668,-236.9698985651346,229.65707060596498,106.45475307705668,106.45475307705668,-116.06628606040307,-116.06628606040307,-116.06628606040307,-116.06628606040307,-116.06628606040307,-116.06628606040307,0.0,0.0,0.0,-9.611532983346393
